id,event_type,road_names,direction,description,start_date,end_date,vehicle_impact,work_zone_type,reduced_speed_limit_kph,beginning_milepost,ending_milepost,num_lanes,lanes_closed,has_workers,geometry_type,num_coordinates
ORC300435924,work-zone,CT 72,unknown,"Paving operations on CT 72 both directions between CT-72 (Bristol) and CLARK AVE (Bristol) There will be various lane closures. Traffic control signing patterns, cones and truck mounted attenuators will be utilized to guide motorists through the work zone. No work will be performed the day before or day after all State recognized holidays., Continuous Sunday April 6th, 2025 08:00 PM thru Friday November 7th, 2025 06:00 AM All lanes open",2025-04-07T00:00:00.000+00:00,2025-11-08T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300474698,work-zone,NY 298,unknown,"Gas main repairs and roadwork on NY 298 eastbound between Northern Blvd (De Witt) and Schuyler Rd (De Witt), Monday August 4th, 2025 thru Sunday November 30th, 2025, Monday/Tuesday/Wednesday/Thursday/Friday/Saturday, 07:00 AM thru 08:00 PM right shoulder closed",2025-08-04T11:00:00.000+00:00,2025-12-01T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300455960,work-zone,CT-171,unknown,"Crack sealing and expansion joint repairs and paving operations on CT-171 both directions between CT-171 (Union) and RINDGE RD (Union) There will be various lane closures , Monday July 14th, 2025 thru Friday November 7th, 2025, Sunday thru Saturday, 07:00 AM thru 04:00 PM All lanes open",2025-07-14T11:00:00.000+00:00,2025-11-08T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300455963,work-zone,CT-31,unknown,"Crack sealing and expansion joint repairs and paving operations on CT-31 both directions between CT-31 (Coventry) and CEDAR SWAMP RD (Coventry) There will be various lane closures , Monday July 14th, 2025 thru Friday November 7th, 2025, Sunday thru Saturday, 07:00 AM thru 04:00 PM All lanes open",2025-07-14T11:00:00.000+00:00,2025-11-08T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300454637,work-zone,E 47TH ST,unknown,"Construction on E 47TH ST westbound between PARK AVE (New York) and VANDERBILT AVE (New York) for GCT train project., Friday August 1st,2025 thru Monday November 17th,2025, Sunday/Friday/Saturday, 09:00 PM thru 05:00 AM All lanes closed westbound,",2025-08-02T01:00:00.000+00:00,2025-11-18T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300435919,work-zone,CT-176,unknown,"Paving operations on CT-176 both directions between CT-15 (Newington) and SOUTH ST at CT-71 (West Hartford) There will be various lane closures. Traffic control signing patterns, cones and truck mounted attenuators will be utilized to guide motorists through the work zone. No work will be performed the day before or day after all State recognized holidays., Continuous Sunday April 6th, 2025 08:00 PM thru Friday November 7th, 2025 06:00 AM All lanes open",2025-04-07T00:00:00.000+00:00,2025-11-08T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300435916,work-zone,CT-314,unknown,"Paving operations on CT-314 northbound between NOTT ST (Wethersfield) and Wilbur Cross Parkway at EXIT 86 (Hartford) There will be various lane closures. Traffic control signing patterns, cones and truck mounted attenuators will be utilized to guide motorists through the work zone. No work will be performed the day before or day after all State recognized holidays., Continuous Sunday April 6th, 2025 08:00 PM thru Friday November 7th, 2025 06:00 AM All lanes open",2025-04-07T00:00:00.000+00:00,2025-11-08T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300474248,work-zone,I-84,unknown,"Tree trimming on I-84 both directions between Exit 11 - CT 34 (Newtown) and Exit 46 - Boulevard/Capitol Avenue/Sisson Avenue (Hartford) There will be ramp and lane closures, Monday April 7th, 2025 thru Friday October 31st, 2025, Monday/Tuesday/Wednesday/Thursday, 07:00 PM thru 05:00 AM All lanes open",2025-04-07T23:00:00.000+00:00,2025-11-01T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC32545409,work-zone,US 9W,unknown,Longterm construction on US 9W northbound between Central Drive (Haverstraw) and E Main Street (Haverstraw) 202308107656/202508112934/B1007140/32545409 - NORTHBOUND LANE DETOURED - SOUTHBOUND LANE REMAINS OPEN - Motorists are advised to follow posted detour. Plan travel accordingly; delays may exist Not currently scheduled,2025-09-05T12:05:20.000+00:00,2025-10-11T03:59:59.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300455970,work-zone,CT-68,unknown,"Crack sealing and expansion joint repairs and paving operations on CT-68 both directions between CT-68 (Cheshire) and CT-68 (Cheshire) There will be various lane closures , Monday July 14th, 2025 thru Friday November 7th, 2025, Sunday thru Saturday, 07:00 AM thru 04:00 PM All lanes open",2025-07-14T11:00:00.000+00:00,2025-11-08T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
